dept,insee,cp,nom,priorite
"59","59588","59229",TÃ©teghem-Coudekerque-Village,"2"
"59","59082","59380",Bierne,"6"
"59","59016","59380",Armbouts-Cappel,"5"
"62","62765","62500",Saint-Omer,"2"
"59","59579","59380",Steene,"5"
"59","59110","59630",Brouckerque,"5"
"59","59576","59380",Spycker,"6"
"59","59664","59143",Wulverdinghe,"7"
"59","59182","59630",Drincham,"7"
"59","59570","59380",Socx,"6"
"59","59397","59470",Merckeghem,"7"
"59","59478","59380",QuaÃ«dypre,"5"
"59","59628","59470",Volckerinckhove,"7"
"59","59200","59470",Eringhem,"7"
"59","59665","59380",Wylder,"6"
"59","59463","59284",Pitgam,"5"
"59","59083","59380",Bissezeele,"6"
"38","38352","38080",Saint-Alban-de-Roche,"4"
"59","59499","59122",RexpoÃ«de,"5"
"59","59433","59143",Nieurlet,"6"
"59","59111","59470",Broxeele,"7"
"59","59337","59143",Lederzeele,"7"
"59","59089","59470",Bollezeele,"6"
"59","59657","59380",West-Cappel,"6"
"59","59119","59285",Buysscheure,"7"
"59","59054","59670",Bavinchove,"6"
"59","59516","59285",Rubrouck,"7"
"59","59018","59285",ArnÃ¨ke,"6"
"59","59669","59670",Zuytpeene,"6"
"59","59443","59670",Ochtezeele,"7"
"59","59667","59670",Zermezeele,"7"
"62","62225","62500",Clairmarais,"7"
"59","59436","59670",Noordpeene,"5"
"59","59655","59670",Wemaers-Cappel,"7"
"59","59338","59470",Ledringhem,"7"
"59","59135","59670",Cassel,"3"
"59","59453","59670",Oudezeele,"6"
"59","59282","59670",Hardifort,"6"
"59","59305","59470",Herzeele,"7"
"59","59663","59470",Wormhout,"3"
"59","59366","59173",Lynde,"5"
"62","62721","62120",Roquetoire,"7"
"62","62684","62120",Racquinghem,"7"
"59","59497","59173",Renescure,"5"
"77","77281","77120",Mauperthuis,"6"
"59","59546","59114",Saint-Sylvestre-Cappel,"3"
"62","62901","62120",Wittes,"7"
"59","59073","59270",Berthen,"5"
"59","59237","59270",FlÃªtre,"5"
"78","78561","78470",Saint-Lambert,"4"
"59","59189","59114",Eecke,"5"
"59","59084","59173",Blaringhem,"4"
"18","18141","18500",Mehun-sur-YÃ¨vre,"3"
"59","59308","59190",Hondeghem,"5"
"59","59578","59189",Steenbecque,"6"
"62","62014","62120",Aire-sur-la-Lys,"3"
"59","59120","59190",CaÃ«stre,"3"
"59","59087","59189",BoÃ«seghem,"7"
"59","59568","59173",Sercus,"6"
"59","59634","59190",Wallon-Cappel,"5"
"18","18157","18570",Morthomiers,"6"
"18","18237","18500",Sainte-Thorette,"7"
"59","59582","59270",Strazeele,"6"
"59","59590","59189",Thiennes,"6"
"59","59295","59190",Hazebrouck,"2"
"62","62770","62350",Saint-Venant,"7"
"59","59469","59190",Pradelles,"6"
"59","59399","59270",Merris,"5"
"59","59091","59190",Borre,"4"
"62","62311","62880",Estevelles,"4"
"59","59416","59190",Morbecque,"5"
"62","62195","62350",Calonne-sur-la-Lys,"6"
"59","59293","59660",Haverskerque,"5"
"62","62747","62350",Saint-Floris,"6"
"59","59212","59940",Estaires,"2"
"59","59423","59940",Neuf-Berquin,"7"
"59","59180","59940",Le Doulieu,"5"
"59","59268","59253",La Gorgue,"2"
"59","59615","59232",Vieux-Berquin,"5"
"59","59400","59660",Merville,"2"
"42","42321","42111",La Valla-sur-Rochefort,"7"
"67","67038","67720",Bietlenheim,"5"
"37","37068","37370",ChemillÃ©-sur-DÃªme,"6"
"41","41103","41310",Huisseau-en-Beauce,"7"
"57","57380","57790",Laneuveville-lÃ¨s-Lorquin,"7"
"42","42164","42990",Palogneux,"7"
"42","42247","42990",Saint-Just-en-Bas,"7"
"42","42227","42990",Saint-Georges-en-Couzan,"7"
"42","42195","42890",Sail-sous-Couzan,"7"
"62","62290","62223",Ecurie,"7"
"80","80427","80600",Hem-Hardinval,"7"
"80","80602","80600",Occoches,"7"
"42","42108","42210",L'HÃ´pital-le-Grand,"6"
"42","42075","42210",Craintilleux,"6"
"42","42149","42210",Montrond-les-Bains,"4"
"42","42315","42210",Unias,"7"
"42","42011","42510",Balbigny,"5"
"42","42221","42110",Sainte-Foy-Saint-Sulpice,"7"
"42","42254","42122",Saint-Marcel-de-FÃ©lines,"7"
"42","42070","42123",Cordelle,"7"
"42","42020","42210",Boisset-lÃ¨s-Montrond,"6"
"42","42143","42110",MizÃ©rieux,"7"
"42","42239","42155",Saint-Jean-Saint-Maurice-sur-Loire,"7"
"42","42219","42130",Saint-Etienne-le-Molard,"7"
"42","42041","42110",ChambÃ©on,"7"
"42","42226","42510",Saint-Georges-de-Baroille,"7"
"42","42274","42260",Saint-Polgues,"7"
"42","42155","42510",Nervieux,"6"
"42","42066","42110",CleppÃ©,"7"
"42","42174","42110",Poncins,"7"
"42","42277","42590",Saint-Priest-la-Roche,"7"
"42","42076","42260",Cremeaux,"6"
"42","42135","42210",Marclopt,"7"
"42","42125","42260",LurÃ©,"7"
"42","42173","42260",Pommiers,"7"
"42","42303","42260",Souternon,"7"
"42","42268","42590",VÃ©zelin-sur-Loire,"7"
"42","42255","42430",Saint-Marcel-d'UrfÃ©,"7"
"42","42106","42260",GrÃ©zolles,"7"
"42","42130","42600",Magneux-Haute-Rive,"5"
"42","42269","42600",Saint-Paul-d'Uzore,"7"
"42","42151","42600",Mornand-en-Forez,"7"
"42","42054","42940",ChÃ¢telneuf,"7"
"42","42251","42210",Saint-Laurent-la-Conche,"7"
"42","42150","42130",Montverdun,"7"
"42","42027","42260",Bully,"7"
"42","42116","42430",JurÃ©,"7"
"42","42260","42260",Saint-Martin-la-SauvetÃ©,"7"
"42","42038","42600",Chalain-le-Comtal,"7"
"42","42105","42600",GrÃ©zieux-le-Fromental,"6"
"42","42089","42600",Essertines-en-ChÃ¢telneuf,"7"
"42","42136","42130",Marcoux,"7"
"42","42134","42130",Marcilly-le-ChÃ¢tel,"7"
"73","73116","73300",Fontcouverte-la-Toussuire,"5"
"7","7050","7140",Chambonas,"7"
"29","29159","29710",Peumerit,"6"
"54","54483","54210",Saint-Nicolas-de-Port,"4"
"54","54549","54110",VarangÃ©ville,"4"
"66","66162","66320",Rigarda,"7"
"57","57029","57580",Arriance,"7"
"21","21498","21350",Posanges,"7"
"37","37214","37540",Saint-Cyr-sur-Loire,"1"
"37","37025","37510",Berthenay,"5"
"37","37151","37390",La Membrolle-sur-Choisille,"1"
"37","37219","37510",Saint-Genouph,"5"
"37","37195","37520",La Riche,"1"
"37","37237","37390",Saint-Roch,"3"
"37","37206","37360",Saint-Antoine-du-Rocher,"2"
"79","79242","79150",Voulmentin,"6"
"37","37109","37230",Fondettes,"1"
"37","37077","37130",Cinq-Mars-la-Pile,"3"
"37","37182","37230",Pernay,"4"
"79","79238","79300",Saint-Aubin-du-Plain,"7"
"79","79013","79150",Argentonnay,"7"
"76","76615","76133",Saint-Martin-du-Bec,"7"
"89","89204","89440",L'Isle-sur-Serein,"7"
"89","89267","89420",MontrÃ©al,"7"
"89","89031","89250",Beaumont,"7"
"89","89008","89440",Angely,"7"
"89","89197","89420",Guillon-Terre-Plaine,"7"
"89","89377","89420",Sauvigny-le-BeurÃ©al,"7"
"89","89439","89600",Vergigny,"7"
"89","89141","89440",Dissangis,"7"
"21","21642","21460",Toutry,"7"
"89","89200","89250",Hauterive,"7"
"89","89328","89230",Rouvray,"7"
"89","89351","89420",Sainte-Magnance,"7"
"21","21681","21460",Vieux-ChÃ¢teau,"7"
"89","89246","89440",Massangis,"7"
"89","89201","89550",HÃ©ry,"7"
"68","68373","68480",Winkel,"7"
"80","80719","80290",Sainte-SegrÃ©e,"7"
"59","59457","59840",PÃ©renchies,"1"
"59","59611","59237",Verlinghem,"1"
"59","59356","59840",Lompret,"1"
"59","59482","59890",Quesnoy-sur-DeÃ»le,"1"
"59","59527","59350",Saint-AndrÃ©-lez-Lille,"1"
"60","60347","60220",Lannoy-CuillÃ¨re,"7"
"76","76199","76390",Criquiers,"7"
"59","59658","59134",Wicres,"1"
"41","41007","41310",Authon,"7"
"37","37169","37110",Neuville-sur-Brenne,"7"
"68","68259","68480",Raedersdorf,"7"
"59","59195","59320",Englos,"1"
"59","59201","59320",Erquinghem-le-Sec,"1"
"60","60275","60650",Glatigny,"7"
"60","60460","60112",La Neuville-Vault,"7"
"22","22060","22150",Gausson,"7"
"22","22219","22150",Plouguenast-Langast,"7"
"50","50305","50110",Le Mesnil-au-Val,"6"
"50","50599","50470",Tollevast,"6"
"50","50454","50340",Saint-Christophe-du-Foc,"7"
"64","64019","64120",Amorots-Succos,"7"
"50","50575","50690",Sideville,"6"
"50","50519","50690",Saint-Martin-le-GrÃ©ard,"7"
"50","50580","50340",Sotteville,"7"
"50","50382","50690",Nouainville,"6"
"50","50083","50340",Bricquebosq,"7"
"50","50240","50340",Helleville,"7"
"50","50079","50260",Breuville,"7"
"50","50087","50700",Brix,"6"
"50","50594","50690",TeurthÃ©ville-Hague,"7"
"50","50643","50690",Virandeville,"7"
"50","50294","50690",Martinvast,"6"
"50","50149","50690",Couville,"7"
"21","21156","21360",Chaudenay-le-ChÃ¢teau,"7"
"57","57146","57420",Coin-lÃ¨s-Cuvry,"1"
"57","57147","57420",Coin-sur-Seille,"4"
"57","57212","57420",FÃ©y,"3"
"57","57412","57050",Longeville-lÃ¨s-Metz,"1"
"57","57624","57130",Sainte-Ruffine,"4"
"57","57480","57950",Montigny-lÃ¨s-Metz,"1"
"21","21634","21360",Thorey-sur-Ouche,"7"
"57","57049","57050",Le Ban-Saint-Martin,"1"
"57","57545","57050",Plappeville,"1"
"57","57642","57160",Scy-Chazelles,"1"
"57","57134","57160",ChÃ¢tel-Saint-Germain,"1"
"57","57396","57160",Lessy,"1"
"57","57125","57365",Chailly-lÃ¨s-Ennery,"3"
"57","57751","57140",Woippy,"1"
"57","57193","57365",Ennery,"2"
"57","57303","57280",Hauconcourt,"3"
"57","57219","57365",FlÃ©vy,"4"
"16","16197","16240",La Magdeleine,"6"
"57","57307","57530",Hayes,"4"
"57","57129","57640",Charly-Oradour,"4"
"57","57024","57640",Antilly,"6"
"57","57612","57640",Saint-Hubert,"4"
"57","57607","57640",Sainte-Barbe,"3"
"57","57716","57640",Vigy,"3"
"57","57142","57070",Chieulles,"1"
"57","57452","57140",La Maxe,"1"
"57","57438","57640",Malroy,"3"
"57","57028","57640",Argancy,"4"
"57","57128","57220",Charleville-sous-Bois,"5"
"57","57626","57640",Sanry-lÃ¨s-Vigy,"4"
"57","57736","57640",Vry,"5"
"57","57467","57070",Mey,"3"
"57","57552","57420",Pouilly,"1"
"57","57616","57070",Saint-Julien-lÃ¨s-Metz,"1"
"57","57512","57645",Nouilly,"4"
"57","57693","57070",Vantoux,"3"
"57","57694","57070",Vany,"1"
"57","57218","57420",Fleury,"4"
"57","57649","57640",Servigny-lÃ¨s-Sainte-Barbe,"4"
"57","57204","57640",Failly,"4"
"57","57463","57000",Metz,"1"
"57","57312","57220",Helstroff,"5"
"57","57150","57220",CondÃ©-Northen,"6"
"57","57548","57420",Pontoy,"5"
"57","57156","57530",Courcelles-sur-Nied,"4"
"57","57527","57420",Orny,"4"
"57","57654","57530",Silly-sur-Nied,"5"
"57","57200","57530",Les Etangs,"4"
"57","57575","57645",Retonfey,"4"
"57","57085","57220",Bionville-sur-Nied,"6"
"57","57351","57245",Jury,"3"
"57","57112","57220",Brouck,"6"
"57","57454","57245",MÃ©cleuves,"4"
"57","57230","57220",Fouligny,"7"
"57","57534","57245",Peltre,"3"
"57","57656","57580",Sorbey,"3"
"57","57048","57220",Bannay,"6"
"57","57563","57530",Raville,"5"
"57","57140","57245",Chesny,"4"
"57","57648","57530",Servigny-lÃ¨s-Raville,"5"
"62","62757","62500",Saint-Martin-lez-Tatinghem,"3"
"57","57392","57580",Lemud,"5"
"62","62772","62500",Salperwick,"7"
"57","57313","57690",HÃ©milly,"7"
"62","62525","62219",Longuenesse,"2"
"57","57259","57480",Grindorff-Bizing,"5"
"57","57431","57530",Maizeroy,"4"
"62","62898","62219",Wisques,"7"
"62","62905","62500",Zudausques,"7"
"57","57020","57580",Ancerville,"7"
"57","57276","57690",Guinglange,"7"
"57","57695","57220",Varize-Vaudoncourt,"5"
"57","57627","57530",Sanry-sur-Nied,"5"
"57","57155","57530",Courcelles-Chaussy,"2"
"57","57569","57480",RÃ©meling,"6"
"57","57739","57320",Waldweistroff,"4"
"57","57286","57480",Halstroff,"5"
"62","62504","62500",Leulinghem,"7"
"57","57055","57530",Bazoncourt,"5"
"57","57533","57530",Pange,"4"
"57","57127","57580",Chanville,"6"
"57","57718","57530",Villers-Stoncourt,"7"
"62","62629","62123",Noyellette,"7"
"62","62624","62950",Noyelles-Godault,"2"
"59","59211","59553",Esquerchin,"4"
"62","62680","62490",QuiÃ©ry-la-Motte,"5"
"62","62173","62117",BrebiÃ¨res,"3"
"18","18070","18260",Concressault,"7"
"59","59156","59552",Courchelettes,"4"
"62","62240","62112",Corbehem,"3"
